亜鉛	aen	zinc
亜麻	ama	flax
亜流	aryuu	bad second
亜聖	asei	sage of the second order
亜鈴	arei	dumbbell
亜炭	atan	lignite
興亜	kooa	Asia development
白亜	hakua	chalk
哀悼	aitoo	condolence
哀歌	aika	lament
哀愁	aisyuu	pathos
哀歓	aikan	joys and sorrows
哀切	aisetu	pathetic
哀感	aikan	pathos
哀惜	aiseki	grief
哀願	aigan	supplication
哀調	aityoo	plaintive
哀史	aisi	sad story
哀話	aiwa	sad story
哀傷	aisyoo	sorrow
哀訴	aiso	appeal
哀楽	airaku	grief and pleasure
哀憐	airen	pity
哀詩	aisi	elegy
悲哀	hiai	sorrow
握手	akusyu	handshake
握力	akuryoku	grip
把握	haaku	grasp
掌握	syooaku	grasping
取扱	toriatukai	treatment
砂嵐	sunaarasi	sandstorm
青嵐	seiran	wind blowing through fresh verdure
晴嵐	seiran	mountain vapor
山嵐	yamaarasi	porcupine
夜嵐	yoarasi	night storm
案内	annai	information
案件	anken	matter in question
案外	angai	unexpectedly
案文	anbun	draft
案分	anbun	proportional division or distribution
案出	ansyutu	contrivance
法案	hooan	bill
提案	teian	proposal
原案	genan	original plan
草案	sooan	draft
懸案	kenan	pending question
立案	rituan	draft
廃案	haian	rejected bill
素案	soan	draft
対案	taian	counter-proposal
事案	zian	concern
考案	kooan	plan
発案	hatuan	idea
試案	sian	tentative plan
議案	gian	legislative bill
勘案	kanan	taking into consideration
私案	sian	private plan
同案	dooan	same plan
思案	sian	thought
答案	tooan	examination paper
図案	zuan	design
文案	bunan	draft
妙案	myooan	ingenious idea
代案	daian	alternate plan
翻案	honan	adaptation
一案	itian	idea
成案	seian	definite plan
腹案	hukuan	one's plan
名案	meian	good idea
新案	sinan	new idea or design
起案	kian	drafting
創案	sooan	original idea
本案	honan	this plan
検案	kenan	autopsy
方案	hooan	plan
教案	kyooan	lesson or teaching plan
愚案	guan	foolish plan
公案	kooan	Zen question for meditation
威力	iryoku	power
威信	isin	dignity
威嚇	ikaku	menace
威勢	isei	power
威圧	iatu	coercion
威厳	igen	dignity
威光	ikoo	power
威容	iyoo	dignity
威風	ihuu	majesty
威儀	igi	dignity
威令	irei	authority
威徳	itoku	virtue and influence
脅威	kyooi	threat
権威	keni	authority
