Japanese	English
あいさつ	greeting
あいだ	between
あう	 fit
あう	to meet
あおい	blue
あかい	red
あかちゃん	baby
あがる	to go up
あかるい	light
あかんぼう	baby
あき	autumn
あく	open
あく	empty
あける	to open
あげる	to rise
あさ	morning
あさごはん	breakfast
あさねぼう	a late riser
あし	leg
あじ	taste
あした	tomorrow
あす	tomorrow (polite)
あそぶ	to play
あたたかい	warm
あたま	head
あたらしい	new
あつい	hot (air)
あつい	thick
あと	later
あなた	you
あに	older brother
あね	older sister
あびる	to take a shower
あぶない	dangerous
あまい	sweet
あめ	rain
あらう	to wash
ある	to be
ありく	to walk
いい/よい	good
いう	to say
いえ	house
いく	to go
いけ	pond
いしゃ	doctor
いす	chair
いそがしい	to be busy
いたい	to be painful
いち	one
いちにち	one day
いっしょ	together
いつつ	five
いま	now
いみ	meaning
いりぐち	entrance
いろ	color
いろいろ	various
うえ	top
うしろ	back
うすい	thin
うた	song
うたう	to sing
うち	home
うまれる	to be born
うみ	sea
うる	to sell
うわぎ	coat
え	picture
えいが	movie
えいがかん	cinema
英語	English language
えき	station
えん	Yen
えんぴつ	pencil
お	honorific prefix
おいしい	tasty
おおきい	big
おかあさん	my own mother
okashi	confectionary
おかね	money
おくさん	someone’s wife
おくる	to send
おさけ	alcohol
おさら	plate
おじさん	uncle
おす	to push
おそい	late
おちゃ	tea
おてあらい	toilet
おとうさん	father
おとこ	man
おとこのこ	boy
おとな	adult
おなか	stomach
おなじ	same
おばさん	aunt
おべんとう	lunchbox
おもい	heavy
おもしろい	interesting
およぐ	to swim
おりる	to get off
おわる	to end
おんがく	music
おんな	woman
おんなのこ	girl
〜かい	~times
〜かい	~floor
がいこく	foreign country
がいこくじん	foreigner
かいしゃ	company
かいだん	stairs
かいもの	shopping
かう	to buy
かえす	to return an object
かえる	to return home
かお	face
かぎ	key
かく	to write
がくせい	student
〜かげつ	~ number of months
かさ	umbrella
かす	to lend
かぜ	wind
かぜ	a cold
かぞく	family
かた	person (polite)
かたかな	Katakana
いちがつ	January
にがつ	February
さんがつ	March
しがつ	April
ごがつ	May
ろくがつ	June
しちがつ	July
はちがつ	August
くがつ	September
じゅうがつ	October
じゅういちがつ	November
じゅうにがつ	December
がっこう	school
かど	corner
かない	my wife
かばん	bag
かびん	vase
かぶる	to put on a hat
かみ	paper
かようび	Tuesday
からい	hot
からだ	body
かりる	to borrow
かるい	light (not heavy)
かわ	river
~がわ	~side
かわいい	cute
かんじ	Kanji character
き	 Spirit
きかい	Opportunity
きけん	Danger
きこえる	to be heard
きしゃ	steam train
きせつ	season
きそく	regulations
きぬ	Silk
きびしい	strict
きぶん	mood
きまる	to be decided
きみ	You (informal)
きめる	to decide
きもち	feeling
きもの	a kimono
きゃく	guest
きゅう	urgent
きゅうこう	speedy
きょういく	education
きょうかい	church
きょうそう	competition
きょうみ	an interest
きんじょ	neighbourhood
ぐあい	condition
くうき	air
くうこう	airport
くさ	grass
くび	neck
くも	cloud
くらべる	to compare
け	hair or fur
けいかく	plan
けいけん	experience
けいざい	finance
けいさつ	police
けが	an injury
けしき	landscape
けしごむ	an eraser
げしゅく	lodging
けっして	never
げんいん	source
けんか	a quarrel
けんきゅう	research
けんきゅうしつ	laboratory
けんぶつ	sightseeing
こ	child
こうがい	outskirts
こうぎ	lecture
こうこう	high school
こうじょう	factory
こうちょう	headmaster
こうどう	auditorium
こうむいん	Government worker
こくさい	international
こころ	core
こたえ	response
ことり	small
こまかい	smal
こむ	to be crowded
こめ	uncooked rice
ごらんになる	to see(respectful)
こわい	frightening
こわす	to break
こわれる	to be broken
こんど	now
こんや	tonight
さいきん	nowadays
さいご	last
さいしょ	beginning
さか	slope
さがす	to look for
さがる	to get down
さかん	popular
さげる	to lower
さびしい	lonely
さらいしゅう	the week after next
さわる	to touch
さんぎょう	industry
ざんねん	disappointment
し	city
じ	city
しあい	match
しかた	method
しかる	to scold
しけん	exam
じこ	accident
じしん	earthquake
じだい	era
したぎ	underwear
したく	preparations
しっぱい	failure
じてん	dictionary
しなもの	goods
しま	island
しみん	citizen
じむしょ	office
しゃかい	society
しゃちょう	company president
じゆう	freedom
しゅうかん	custom
じゅうどう	judo
じゅうぶん	enough
しゅっせき	attendance
しゅっぱつ	departure
しゅみ	a hobby
じゅんび	preparation
しょうかい	introduction
しょうがっこう	elementary school
しょうせつ	novel
しょうたい	invitation
しょうち	consentment
しょうらい	future
しょくじ	a meal
しょくりょうひん	groceries
じょせい	woman
しらせる	to notify
