ああ	Ah!
あう	to meet
あおい	blue
あかい	red
あかるい	light, bright
あき	autumn, fall
あく	open
あける	to open
あげる	to give
あさ	morning
あし	leg, foot
あした	tomorrow
あそこ	over there
あそぶ	to play
あたたかい	warm
あたま	head
あたらしい	new
あちら	over there (polite)
あつい	hot (air)
あつい	thick
あと	later, after
あなた	you
あに	older brother
あね	older sister
あの	that (over there)
あびる	to take a shower
あぶない	dangerous
あまい	sweet
あまり	not so
あめ	rain
あらう	to wash
ある	to be, to exist
ある	to possess
あるく	to walk
いいえ	no
いう	to say, to tell
いえ	house, home
いく	to go
いくつ	how many, how old
いくら	how much
いす	chair
いそがしい	to be busy
いたい	to be painful
いち	one
いちにち	one day
いつ	when
いつつ	five
いつも	always
いま	now
いみ	meaning
いりぐち	entrance
いる	to exist
いれる	to insert, to put in
いろ	color
いろいろ	various
うえ	top, on, above
うしろ	back, rear, behind
うすい	thin
うた	song
うたう	to sing
うち	home
うまれる	to be born
うみ	sea
うる	to sell
うわぎ	coat, jacket
え	picture
えいが	movie
えいがかん	cinema
えいご	English language
ええ	Yes, I see
えん	Yen
えんぴつ	pencil
お	honorific prefix
おいしい	tasty, delicious
おおきい	big
おおぜい	many people
おかあさん	my own mother
おかし	confectionary, cake
おかね	money
おく	to put, to place
おくさん	someone’s wife
おくる	to send
おさけ	alcohol, sake
おさら	plate
おじさん	uncle
おじいさん	grand father
おす	to push
おてあらい	toilet, lavatory
おとうさん	father
おとこ	man
おとこのこ	boy
おととし	the year before last
おとな	adult
おなか	stomach
おなじ	same
おばさん	aunt
おばあさん	grandmother
おべんとう	lunchbox
おもい	heavy
おもしろい	interesting, funny
およぐ	to swim
おりる	to get off
おわる	to end
おんがく	music
おんな	woman
がいこく	foreign country
かいだん	stairs
かいもの	shopping
かう	to buy
かえす	to return an object
かえる	to return home
かお	face
かかる	to take time, money
かぎ	key
かく	to write
かける	to wear
かける	to make a phone call
かさ	umbrella
かす	to lend
かぜ	wind
かぜ	a cold
かぞく	family
かた	person
かたかな	Katakana
いちがつ	January
にがつ	February
さんがつ	March
しがつ	April
ごがつ	May
ろくがつ	June
しちがつ	July
はちがつ	August
かど	corner
かない	my wife
かばん	bag
かびん	vase
かぶる	to put on a hat
かみ	paper
かめら	camera
かようび	Tuesday
からい	hot, spicy
からだ	body
かわいい	cute, pretty
かんじ	Kanji character
き	tree
きいろい	yellow
きえる	to go out, to vanish
きる	to cut
きる	to wear, to put on
くる	to come
ぎんこう	bank
きんようび	Friday
く	nine
くすり	medicine
ください	give me…
くだもの	fruit
くち	mouth
くつ	shoe
くつした	socks
くに	country
くもり	cloudy weather
くらい	dark
くるま	car
くろい	black
けさ	this morning
げつようび	Monday
げんかん	entrance of a house
こうえん	park, large garden
こうばん	police box
ここ	here
ごご	afternoon
ごぜん	morning, a.m.
こたえる	to answer
ことし	this year
ことば	phrase, language
こども	child
この	this…
ごはん	meal, cooked rice
こまる	to be in trouble
これ	this
ごろ	around…
こんばん	this evening
さかな	fish
さき	earlier, former
さく	to blossom
さくぶん	composition
さとう	sugar
さむい	cold
さんぽ	to take a walk
しお	salt
しかし	however, but
しずか	quiet
した	under, below
しぬ	to die, to pas away
じびき	dictionary
じぶん	oneself
しまる	to close
しめる	to close
しる	to know
しんぶん	newspaper
すいようび	Wednesday
すぐに	at once
すこし	a little
する	to do
すわる	to sit
せい	height
せびろ	jacket, suit
せん	1,000, thousand
せんせい	teacher
せんたく	washing, to wash
ぜんぶ	all
そう	so
そうじ	to clean
そうして	and then
そこ	there
そちら	there
そと	outside
その	that…
そば	next to
そら	sky
それ	that
それから	after that
だいがく	university
だいすき	to be very fond of
たいせつ	very important
たいてい	mostly, usually
だいどころ	kitchen
たいへん	very, serious
たかい	high, expensive
たつ	to stand
たてもの	building
たのしい	pleasant, enjoyable
たのむ	to ask, to request
たばこ	cigarette
たぶん	perhaps, probably
たべもの	food
たべる	to eat
たまご	egg
だんだん	gradually
ちいさい	small
ちかい	near, close
ちがう	different
ちかてつ	subway
ちず	map
つかう	to use
つかれる	to get tired
つぎ	next
つく	to arrive
つくえ	table
つくる	to make, to produce
つける	to turn on
つとめる	to work for someone
つまらない	uninteresting
つめたい	cold
つよい	strong
でかける	to go out
てがみ	letter
できる	can
でも	but
てんき	weather
でんわ	phone
どう	how?
どうして	why?
どうぞ	please, here you are
どうぶつ	animal
どうも	thanks
とお	ten
とおい	far
ときどき	sometimes
とけい	watch, clock
どこ	where?
とても	very much, quiet
どなた	who
となり	next to
どの	which?
とぶ	to fly
とまる	to stop
ともだち	friend
どようび	Saturday
とり	bird
とりにく	chicken meat
とる	to take
とる	to take a photo
どれ	which?
なか	inside
ながい	long
なく	to sing, mew, moo
なつ	summer
ななつ	seven
なに	what?
なまえ	name
ならう	to learn
ならぶ	to form a line
ならべる	to line up
なる	to become
に	two
にぎやか	lively
おにく	meat
にちようび	Sunday
のぼる	to climb up
のみもの	drinks
のむ	to drink
のる	to take, to ride
はいざら	ashtray
